SupplierID,SupplierName,ProductCatalog
1,Kiss Products Inc.,Nail Tools and Accessories
2,ImPRESS Manicure,Gel Nail Products
3,Static Nails,Nail Wraps and Stickers
4,Nailene,Acrylic Nail Kits
5,Red Aspen,Dip Powder Systems
6,Olive & June,Nail Polishes and Treatments
7,Glamnetic,Nail Art Supplies
8,Makartt,Magnetic Lashes and Tools
9,BTArtbox,Gel Manicure Kits
10,Clutch Nails,Nail Extensions and Tools
11,Nails Mailed,Artificial Nails and Adhesives
12,Color Street,Press-On Nails and Designs
13,Jamberry,Nail Polish Strips
14,Incoco,Nail Care and Maintenance
15,Sally Hansen,Reusable Nail Systems
16,Essie,Nail Art Kits and Tools
17,OPI,Gel Polish Sets
18,China Glaze,Nail Adhesives and Tools
19,CND (Creative Nail Design),Manicure and Pedicure Kits
20,Bio Seaweed Gel,Nail Lacquers and Treatments
21,Le Mini Macaron,Nail Care Products
22,Modelones,Professional Nail Systems
23,Beetles Gel Polish,Nail Polish Appliqués
24,Après Nail,Nail Art Tools and Accessories
25,Kiara Sky,Shellac Nail Products
26,Young Nails,Nail Treatment Kits
27,Revel Nail,Nail Art Pens and Brushes
28,SNS Nails,Nail Decals and Accessories
29,Azure Beauty,Hand and Nail Care Products
30,Morovan,Complete Nail Design Kits
