ProductID,ProductCatalog,ProductName,FloorPrice,CeilingPrice,TargetPrice,SupplierName
1001,Nail tools and accessories,Nail tools and accessories Product 1,6.5,11.5,9,Kiss Products Inc.
1002,Nail tools and accessories,Nail tools and accessories Product 2,8,13,10.5,Kiss Products Inc.
1003,Nail tools and accessories,Nail tools and accessories Product 3,9.5,14.5,12,Kiss Products Inc.
1004,Nail tools and accessories,Nail tools and accessories Product 4,11,16,13.5,Kiss Products Inc.
1005,Nail tools and accessories,Nail tools and accessories Product 5,12.5,17.5,15,Kiss Products Inc.
1006,Gel Nail Products,Gel nail polishes Product 1,6.5,11.5,9,ImPRESS Manicure
1007,Gel Nail Products,Gel nail polishes Product 2,8,13,10.5,ImPRESS Manicure
1008,Gel Nail Products,Gel nail polishes Product 3,9.5,14.5,12,ImPRESS Manicure
1009,Gel Nail Products,Gel nail polishes Product 4,11,16,13.5,ImPRESS Manicure
1010,Gel Nail Products,Gel nail polishes Product 5,12.5,17.5,15,ImPRESS Manicure
1011,Nail Wraps and Stickers,Dip powder systems Product 1,6.5,11.5,9,Static Nails
1012,Nail Wraps and Stickers,Dip powder systems Product 2,8,13,10.5,Static Nails
1013,Nail Wraps and Stickers,Dip powder systems Product 3,9.5,14.5,12,Static Nails
1014,Nail Wraps and Stickers,Dip powder systems Product 4,11,16,13.5,Static Nails
1015,Nail Wraps and Stickers,Dip powder systems Product 5,12.5,17.5,15,Static Nails
1016,Acrylic Nail Kits,Press-on nails and designs Product 1,6.5,11.5,9,Nailene
1017,Acrylic Nail Kits,Press-on nails and designs Product 2,8,13,10.5,Nailene
1018,Acrylic Nail Kits,Press-on nails and designs Product 3,9.5,14.5,12,Nailene
1019,Acrylic Nail Kits,Press-on nails and designs Product 4,11,16,13.5,Nailene
1020,Acrylic Nail Kits,Press-on nails and designs Product 5,12.5,17.5,15,Nailene
1021,Dip Powder Systems,Reusable pop-on nails Product 1,6.5,11.5,9,Red Aspen
